CarModel,Year,Engine,Fuel,Price,Milage
BMW Seria 3 320,2010,1 995 cm3,Diesel,8 650                    EUR,145 000 km
BMW Seria 5 525,2012,2 000 cm3,Diesel,16 500                    EUR,160 000 km
BMW Seria 5 530,2012,2 993 cm3,Diesel,15 290                    EUR,226 000 km
BMW Seria 3 320,2009,1 995 cm3,Diesel,7 100                    EUR,185 000 km
BMW Seria 1,2011,1 995 cm3,Diesel,6 800                    EUR,171 000 km
BMW X5,2011,2 997 cm3,Diesel,17 650                    EUR,191 000 km
BMW Seria 5 525,2012,1 995 cm3,Diesel,14 500                    EUR,244 300 km
BMW X5,2007,3 000 cm3,Diesel,7 250                    EUR,116 000 km
BMW X6,2015,2 993 cm3,Diesel,43 990                    EUR,87 900 km
BMW Seria 7 730,2014,2 993 cm3,Diesel,24 990                    EUR,195 000 km
BMW Seria 5 525,2014,1 995 cm3,Diesel,17 790                    EUR,190 000 km
BMW Seria 3 320,2012,1 995 cm3,Diesel,15 499                    EUR,192 000 km
BMW X1,2010,1 995 cm3,Diesel,12 600                    EUR,210 000 km
BMW Seria 5 520,2014,2 000 cm3,Diesel,15 349                    EUR,199 000 km
BMW Seria 6 630,2006,2 996 cm3,Benzina,11 900                    EUR,80 800 km
BMW Seria 3 318,2004,1 995 cm3,Benzina,4 000                    EUR,86 000 km
BMW X1,2010,1 995 cm3,Diesel,12 600                    EUR,200 000 km
BMW Seria 3 318,2016,1 995 cm3,Diesel,16 990                    EUR,38 019 km
BMW X1,2011,1 998 cm3,Diesel,8 750                    EUR,156 000 km
BMW Seria 1 123,2011,1 995 cm3,Diesel,8 950                    EUR,168 200 km
BMW Seria 3,2016,1 980 cm3,Diesel,17 890                    EUR,180 000 km
BMW X5,2014,2 997 cm3,Diesel,35 999                    EUR,115 000 km
BMW Seria 7 740,2016,2 996 cm3,Diesel,61 000                    EUR,74 000 km
BMW Seria 3 320,2009,1 995 cm3,Diesel,8 180                    EUR,207 007 km
BMW Seria 5 540,2018,2 993 cm3,Benzina,54 630                    EUR,25 400 km
BMW X6,2016,2 993 cm3,Diesel,52 348                    EUR,109 473 km
BMW X5,2016,2 000 cm3,Diesel,28 850                    EUR,126 871 km
BMW Seria 5 535,2012,2 993 cm3,Diesel,12 499                    EUR,229 000 km
BMW Seria 3 320,2016,2 000 cm3,Diesel,13 970                    EUR,144 200 km
BMW Seria 3 320,2017,1 995 cm3,Diesel,31 535                    EUR,26 500 km
BMW Seria 3 320,2013,1 995 cm3,Diesel,14 990                    EUR,141 000 km
BMW X1,2010,1 993 cm3,Diesel,10 850                    EUR,178 900 km
BMW Seria 4,2018,2 998 cm3,Benzina,49 980                    EUR,24 700 km
BMW Seria 7 730,2017,2 999 cm3,Diesel,42 999                    EUR,18 000 km
BMW X5,2010,2 993 cm3,Diesel,21 900                    EUR,129 400 km
BMW X1,2013,1 995 cm3,Diesel,16 900                    EUR,82 700 km
BMW Seria 3 330,2018,3 000 cm3,Benzina,30 700                    EUR,10 000 km
BMW X3,2012,1 995 cm3,Diesel,15 450                    EUR,193 000 km
BMW X6,2015,2 995 cm3,Diesel,45 220                    EUR,77 300 km
BMW X1,2010,1 995 cm3,Diesel,8 600                    EUR,228 000 km
BMW Seria 5 520,2011,1 995 cm3,Diesel,14 400                    EUR,122 000 km
BMW Seria 6 GT,2018,2 995 cm3,Diesel,72 900                    EUR,19 000 km
BMW Seria 5,2006,2 999 cm3,Diesel,7 950                    EUR,321 404 km
BMW X3,2012,1 995 cm3,Diesel,15 300                    EUR,179 000 km
BMW Seria 7 740,2013,2 993 cm3,Diesel,25 000                    EUR,185 236 km
BMW Seria 1 118,2013,1 995 cm3,Diesel,9 990                    EUR,164 500 km
